Participant,Experiment_Duration,Date_OSF,Date,Time,Browser,Mobile,Platform,Screen_Width,Screen_Height,Source,Age,Gender,Education,Discipline,Student,Ethnicity,Country,SexualOrientation,SexualStatus,Hexaco_Duration,HEXACO18_HonestyHumility_Sincerity_1_NR,HEXACO18_HonestyHumility_GreedAvoidance_2_R,HEXACO18_HonestyHumility_Modesty_3_R,HEXACO18_Emotionality_Fearfulness_4_R,HEXACO18_Emotionality_Dependence_5_NR,HEXACO18_Emotionality_Anxiety_6_NR,HEXACO18_Extraversion_SocialSelfEsteem_7_R,HEXACO18_Extraversion_SocialBoldness_8_R,HEXACO18_Extraversion_Liveliness_9_R,HEXACO18_Agreeableness_Forgiveness_10_NR,HEXACO18_Agreeableness_Gentleness_11_NR,HEXACO18_Agreeableness_Patience_12_R,HEXACO18_Conscientiousnes_Diligence_13_R,HEXACO18_Conscientiousnes_Prudence_14_R,HEXACO18_Conscientiousnes_Organization_15_R,HEXACO18_Openness_Unconventionality_16_R,HEXACO18_Openness_AestheticAppreciation_17_NR,HEXACO18_Openness_Creativity_18_NR,Bait_Duration,BAIT_AI_Knowledge,BAIT_9_NegativeAttitutes,BAIT_4_VideosIssues,BAIT_8_TextIssues,BAIT_10_NegativeAttitutes,BAIT_5_ImitatingReality,BAIT_1_ImagesRealistic,BAIT_6_EnvironmentReal,BAIT_7_TextRealistic,BAIT_3_VideosRealistic,BAIT_11_PositiveAttitutes,BAIT_2_ImagesIssues,BAIT_12_PositiveAttitutes,Instruction_Duration1,Instruction_Duration2,Eyetracking_Validation1_Mean,Eyetracking_Validation1_Max,Eyetracking_Validation1_Min,Eyetracking_Validation1_Distance,Eyetracking_Validation2_Mean,Eyetracking_Validation2_Max,Eyetracking_Validation2_Min,Eyetracking_Validation2_Distance,Ethnicity-Comment,Discipline-Comment
S001,28.693949999999997,2024-07-23 12:11:46.794478+00:00,23/07/2024,14:42:57,safari,False,Mac OS,1440.0,820.0,sof1,23,Female,Master,"Psychology, Neuroscience",True,Prefer not to say,Cyprus,Heterosexual,Single and open to dating,1.0454833333333333,5.0,4.0,4.0,3.0,5.0,6.0,0.0,0.0,0.0,5.0,5.0,6.0,4.0,2.0,3.0,3.0,6.0,5.0,0.8536166666666667,1.0,3.0,4.0,5.0,5.0,3.0,5.0,3.0,6.0,5.0,4.0,4.0,3.0,58.905,17.345,,,,,,,,,,
S002,32.14638333333333,2024-07-23 12:23:25.826792+00:00,23/07/2024,13:51:07,safari,False,Mac OS,1427.0,749.0,sof1,22,Female,Master,"Psychology, Neuroscience",True,White,Spain,Heterosexual,Single and not open to dating,0.8290833333333333,6.0,1.0,1.0,0.0,5.0,6.0,1.0,3.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0,6.0,6.0,0.7091,4.0,6.0,6.0,5.0,6.0,6.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,4.769,2.277,0.0,0.0,0.0,77.83712872228429,15.969808377896616,40.625,0.0,73.70778017520857,,
S003,27.34013333333333,2024-07-26 13:56:19.633675+00:00,26/07/2024,14:28:53,chrome,False,Windows 10,1920.0,911.0,sof1,27,Male,Master,"Psychology, Neuroscience",True,White,United Kingdom,Homosexual,In a relationship and not open to dating,0.7243999999999999,5.0,1.0,4.0,5.0,3.0,6.0,5.0,5.0,2.0,2.0,1.0,4.0,2.0,3.0,2.0,5.0,6.0,6.0,0.48253333333333337,4.0,3.0,3.0,4.0,5.0,2.0,3.0,2.0,1.0,4.0,4.0,3.0,3.0,2.67,89.616,12.487772616813805,44.06779661016949,0.0,59.554846382026355,15.77732320280538,40.67796610169492,0.0,77.756890296861,,
S004,44.15926666666667,2024-07-30 15:11:42.113110+00:00,30/07/2024,15:27:18,edge-chromium,False,Windows 10,1488.0,742.0,sof1,22,Female,Bachelor,"Biology, Chemistry, Physics",False,White,United Kingdom,Heterosexual,Single and open to dating,4.086966666666666,4.0,1.0,1.0,2.0,2.0,6.0,1.0,4.0,2.0,1.0,4.0,2.0,2.0,1.0,3.0,2.0,1.0,4.0,1.56885,3.0,5.0,5.0,4.0,5.0,2.0,6.0,4.0,3.0,1.0,4.0,3.0,2.0,71.383,26.101,7.364406779661017,31.666666666666664,0.0,87.50803393977606,5.1955099613440385,22.807017543859647,0.0,123.6095325333371,,
S005,43.61898333333333,2024-07-30 15:35:26.813682+00:00,30/07/2024,16:51:40,safari,False,Mac OS,986.0,748.0,sof1,57,Female,Bachelor,other,False,White,Spain,Heterosexual,In a relationship and not open to dating,4.5115,5.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,2.0,1.8356166666666667,1.0,6.0,6.0,5.0,6.0,5.0,5.0,4.0,4.0,5.0,2.0,5.0,2.0,80.439,87.226,0.0,0.0,0.0,142.10369133537534,0.588235294117647,2.941176470588235,0.0,178.70499859317442,,Journalism
S006,62.13981666666667,2024-07-30 21:16:58.552325+00:00,30/07/2024,22:14:41,safari,False,Mac OS,745.0,748.0,sof1,60,Male,Master,"Literature, Languages",False,White,Spain,Heterosexual,In a relationship and not open to dating,3.5843,6.0,0.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,6.0,2.0,4.0,0.0,0.0,1.0,2.0,6.0,6.0,2.1671,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,3.0,2.0,5.0,3.0,4.0,102.091,34.635,3.5749936338171637,12.121212121212121,0.0,63.49732775629908,7.789661319073083,29.411764705882355,0.0,65.13004943524126,,
S007,183.84814999999998,2024-07-31 15:09:17.679294+00:00,31/07/2024,07:05:16,chrome,False,Mac OS,1367.0,766.0,sof1,57,Female,Doctorate,"Literature, Languages",,other,United States,Heterosexual,Single and open to dating,2.0845166666666666,6.0,1.0,3.0,0.0,6.0,6.0,3.0,5.0,5.0,3.0,0.0,0.0,3.0,3.0,0.0,2.0,6.0,6.0,1.9328833333333333,1.0,4.0,3.0,5.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,1.0,41.625,438.925,9.451977401129945,23.333333333333332,0.0,97.0788370438666,4.590882524839275,13.559322033898304,0.0,121.12990280904216,"White, Hispanic",
S008,71.01953333333333,2024-07-31 23:58:46.260803+00:00,31/07/2024,18:47:38,chrome,False,Mac OS,1423.0,692.0,sof1,26,Female,Master,"Psychology, Neuroscience",True,White,United States,Heterosexual,Single and open to dating,1.3847833333333335,5.0,2.0,4.0,0.0,4.0,5.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,4.0,6.0,0.9153,4.0,4.0,4.0,6.0,5.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,57.833,31.637,17.757062146892654,55.00000000000001,0.0,77.87970534033276,6.403954802259887,42.3728813559322,0.0,96.18119254018652,,
S009,34.11966666666667,2024-08-01 10:14:55.563771+00:00,01/08/2024,11:40:17,chrome,False,Windows 10,1536.0,730.0,sof1,15,Female,High school,,True,Hispanic/Latino,Spain,Heterosexual,Single and open to dating,1.8104666666666667,2.0,6.0,5.0,1.0,2.0,5.0,3.0,2.0,4.0,4.0,4.0,1.0,2.0,3.0,1.0,0.0,5.0,1.0,1.3142166666666666,2.0,4.0,5.0,5.0,6.0,4.0,5.0,4.0,4.0,4.0,5.0,2.0,5.0,45.442,25.382,6.233474073096715,49.09090909090909,0.0,54.73007110863294,5.185050798258345,26.923076923076923,0.0,87.57855777031698,,
S010,39.502399999999994,2024-08-02 01:22:18.247671+00:00,01/08/2024,20:42:39,chrome,False,Windows 10,1280.0,585.0,sof1,15,Female,High school,,False,South Asian,United States,Heterosexual,Single and not open to dating,2.4916666666666667,1.0,0.0,0.0,0.0,2.0,6.0,6.0,5.0,2.0,6.0,6.0,0.0,0.0,3.0,5.0,2.0,3.0,6.0,1.1111666666666666,2.0,3.0,6.0,5.0,1.0,4.0,6.0,6.0,6.0,2.0,6.0,4.0,6.0,34.122,17.339,0.0,0.0,0.0,63.01845283608585,12.814338593415155,36.666666666666664,0.0,95.80153350408334,,
